tracking_id,parent_market_name,primary_outcome_to_track,verification_status,question,slug,gamma_market_id,volume,liquidity,issue,notes
RSO-0016,Republican Senate seats after 2026 midterms,48,VERIFIED_READY,Will the Republican Party control the Senate after the 2026 Midterm elections?,will-the-republican-party-control-the-senate-after-the-2026-midterm-elections,562794,1309267.4489230118,161687.3296,WRONG_MATCH_SEAT_RANGE_TO_SENATE_CONTROL,AUTO_ACCEPTED: accepted rank=1 score=1.2897 top=1.2897 second=1.1059; margin disabled; row filters passed
RSO-0017,Republican Senate seats after 2026 midterms,49,VERIFIED_READY,Will the Republican Party control the Senate after the 2026 Midterm elections?,will-the-republican-party-control-the-senate-after-the-2026-midterm-elections,562794,1309267.4489230118,161687.3296,WRONG_MATCH_SEAT_RANGE_TO_SENATE_CONTROL,AUTO_ACCEPTED: accepted rank=1 score=1.2897 top=1.2897 second=1.1059; margin disabled; row filters passed
RSO-0018,Republican Senate seats after 2026 midterms,50,VERIFIED_READY,Will the Republican Party control the Senate after the 2026 Midterm elections?,will-the-republican-party-control-the-senate-after-the-2026-midterm-elections,562794,1309267.4489230118,161687.3296,WRONG_MATCH_SEAT_RANGE_TO_SENATE_CONTROL,AUTO_ACCEPTED: accepted rank=1 score=1.2897 top=1.2897 second=1.1059; margin disabled; row filters passed
RSO-0019,Republican Senate seats after 2026 midterms,51,VERIFIED_READY,Will the Republican Party control the Senate after the 2026 Midterm elections?,will-the-republican-party-control-the-senate-after-the-2026-midterm-elections,562794,1309267.4489230118,161687.3296,WRONG_MATCH_SEAT_RANGE_TO_SENATE_CONTROL,AUTO_ACCEPTED: accepted rank=1 score=1.2897 top=1.2897 second=1.1059; margin disabled; row filters passed
RSO-0020,Republican Senate seats after 2026 midterms,52,VERIFIED_READY,Will the Republican Party control the Senate after the 2026 Midterm elections?,will-the-republican-party-control-the-senate-after-the-2026-midterm-elections,562794,1309267.4489230118,161687.3296,WRONG_MATCH_SEAT_RANGE_TO_SENATE_CONTROL,AUTO_ACCEPTED: accepted rank=1 score=1.2897 top=1.2897 second=1.1059; margin disabled; row filters passed
RSO-0050,Arizona Governor Election Winner,Democrat,NEEDS_MANUAL_REVIEW,Will the Democrats win the Arizona governor race in 2026?,TODO_VERIFY,,,,NEEDS_MANUAL_REVIEW,"No executable candidate passed filters after slug ladder; candidates=667; last_reject=missing_topic=['arizona', 'governor']"
RSO-0051,Arizona Governor Election Winner,Republican,NEEDS_MANUAL_REVIEW,Will the Republicans win the Arizona governor race in 2026?,TODO_VERIFY,,,,NEEDS_MANUAL_REVIEW,"No executable candidate passed filters after slug ladder; candidates=667; last_reject=missing_topic=['arizona', 'governor']"
RSO-0093,Brazil Presidential Election First Round: Margin of Victory,Lula da Silva 15%+,VERIFIED_READY,Will Luiz Inácio Lula da Silva win the first round of the 2026 Brazilian presidential election by 10–15%?,will-luiz-incio-lula-da-silva-win-the-first-round-of-the-2026-brazilian-presidential-election-by-1015-995,1366009,5654.661190999999,17653.71258,WRONG_DUPLICATE_LULA_15_PLUS_MAPPED_TO_10_15,AUTO_ACCEPTED: accepted rank=1 score=1.1947 top=1.1947 second=1.1871; margin disabled; row filters passed
RSO-0097,Brazil Presidential Election First Round: Margin of Victory,Flávio Bolsonaro 10%+,NEEDS_MANUAL_REVIEW,Will Flávio Bolsonaro win the first round of the 2026 Brazilian presidential election by 10% or more?,TODO_VERIFY,,,,NEEDS_MANUAL_REVIEW,"No executable candidate passed filters after slug ladder; candidates=678; last_reject=missing_topic=['brazil', 'first round', 'presidential']"
RSO-0155,São Paulo Governor Election Winner,Tarcísio de Freitas,NEEDS_MANUAL_REVIEW,Will Tarcísio de Freitas win the São Paulo Governor election?,TODO_VERIFY,,,,NEEDS_MANUAL_REVIEW,"No executable candidate passed filters after slug ladder; candidates=667; last_reject=missing_topic=['sao paulo', 'governor']"
RSO-0156,São Paulo Governor Election Winner,Fernando Haddad,NEEDS_MANUAL_REVIEW,Will Fernando Haddad win the São Paulo Governor election?,TODO_VERIFY,,,,NEEDS_MANUAL_REVIEW,"No executable candidate passed filters after slug ladder; candidates=667; last_reject=missing_topic=['sao paulo', 'governor']"
RSO-0157,São Paulo Governor Election Winner,Kim Kataguiri,NEEDS_MANUAL_REVIEW,Will Kim Kataguiri win the São Paulo Governor election?,TODO_VERIFY,,,,NEEDS_MANUAL_REVIEW,"No executable candidate passed filters after slug ladder; candidates=667; last_reject=missing_topic=['sao paulo', 'governor']"
RSO-0158,São Paulo Governor Election Winner,Márcio França,NEEDS_MANUAL_REVIEW,Will Márcio França win the São Paulo Governor election?,TODO_VERIFY,,,,NEEDS_MANUAL_REVIEW,"No executable candidate passed filters after slug ladder; candidates=667; last_reject=missing_topic=['sao paulo', 'governor']"
RSO-0159,São Paulo Governor Election Winner,Erika Hilton,NEEDS_MANUAL_REVIEW,Will Erika Hilton win the São Paulo Governor election?,TODO_VERIFY,,,,NEEDS_MANUAL_REVIEW,"No executable candidate passed filters after slug ladder; candidates=667; last_reject=missing_topic=['sao paulo', 'governor']"
RSO-0174,Next Premier of Quebec,Paul St-Pierre Plamondon,NEEDS_MANUAL_REVIEW,Will Paul St-Pierre Plamondon be the next Premier of Quebec?,TODO_VERIFY,,,,NEEDS_MANUAL_REVIEW,"No executable candidate passed filters after slug ladder; candidates=691; last_reject=missing_topic=['quebec', 'premier']"
RSO-0175,Next Premier of Quebec,Charles Milliard,NEEDS_MANUAL_REVIEW,Will Charles Milliard be the next Premier of Quebec?,TODO_VERIFY,,,,NEEDS_MANUAL_REVIEW,"No executable candidate passed filters after slug ladder; candidates=691; last_reject=missing_topic=['quebec', 'premier']"
RSO-0176,Next Premier of Quebec,Christine Fréchette,NEEDS_MANUAL_REVIEW,Will Christine Fréchette be the next Premier of Quebec?,TODO_VERIFY,,,,NEEDS_MANUAL_REVIEW,"No executable candidate passed filters after slug ladder; candidates=691; last_reject=missing_topic=['quebec', 'premier']"
RSO-0177,Next Premier of Quebec,Bernard Drainville,NEEDS_MANUAL_REVIEW,Will Bernard Drainville be the next Premier of Quebec?,TODO_VERIFY,,,,NEEDS_MANUAL_REVIEW,"No executable candidate passed filters after slug ladder; candidates=691; last_reject=missing_topic=['quebec', 'premier']"
RSO-0178,Next Premier of Quebec,Ruba Ghazal,NEEDS_MANUAL_REVIEW,Will Ruba Ghazal be the next Premier of Quebec?,TODO_VERIFY,,,,NEEDS_MANUAL_REVIEW,"No executable candidate passed filters after slug ladder; candidates=691; last_reject=missing_topic=['quebec', 'premier']"
RSO-0179,Next Premier of Quebec,Sol Zanetti,NEEDS_MANUAL_REVIEW,Will Sol Zanetti be the next Premier of Quebec?,TODO_VERIFY,,,,NEEDS_MANUAL_REVIEW,"No executable candidate passed filters after slug ladder; candidates=691; last_reject=missing_topic=['quebec', 'premier']"
RSO-0180,Next Premier of Quebec,Éric Duhaime,NEEDS_MANUAL_REVIEW,Will Éric Duhaime be the next Premier of Quebec?,TODO_VERIFY,,,,NEEDS_MANUAL_REVIEW,"No executable candidate passed filters after slug ladder; candidates=691; last_reject=missing_topic=['quebec', 'premier']"
