tracking_id,parent_market_name,primary_outcome_to_track,verification_status,question,slug,gamma_market_id,volume,liquidity,issue,notes,search_query,exact_polymarket_slug,slug_search_hint,status
RSO-0016,Republican Senate seats after 2026 midterms,48,,Will the Republican Party hold exactly 48 Senate seats after the 2026 midterm elections?,will-the-republican-party-control-the-senate-after-the-2026-midterm-elections,,,,WRONG_MATCH_SEAT_RANGE_TO_SENATE_CONTROL,AUTO_ACCEPTED: accepted rank=1 score=1.2897 top=1.2897 second=1.1059; margin disabled; row filters passed,Will the Republican Party hold exactly 48 Senate seats after the 2026 midterm elections?,TODO_VERIFY,will-the-republican-party-hold-exactly-48-senate-seats-after-the-2026-midterm-elections,manual_seed_needs_resolution
RSO-0017,Republican Senate seats after 2026 midterms,49,,Will the Republican Party hold exactly 49 Senate seats after the 2026 midterm elections?,will-the-republican-party-control-the-senate-after-the-2026-midterm-elections,,,,WRONG_MATCH_SEAT_RANGE_TO_SENATE_CONTROL,AUTO_ACCEPTED: accepted rank=1 score=1.2897 top=1.2897 second=1.1059; margin disabled; row filters passed,Will the Republican Party hold exactly 49 Senate seats after the 2026 midterm elections?,TODO_VERIFY,will-the-republican-party-hold-exactly-49-senate-seats-after-the-2026-midterm-elections,manual_seed_needs_resolution
RSO-0018,Republican Senate seats after 2026 midterms,50,,Will the Republican Party hold exactly 50 Senate seats after the 2026 midterm elections?,will-the-republican-party-control-the-senate-after-the-2026-midterm-elections,,,,WRONG_MATCH_SEAT_RANGE_TO_SENATE_CONTROL,AUTO_ACCEPTED: accepted rank=1 score=1.2897 top=1.2897 second=1.1059; margin disabled; row filters passed,Will the Republican Party hold exactly 50 Senate seats after the 2026 midterm elections?,TODO_VERIFY,will-the-republican-party-hold-exactly-50-senate-seats-after-the-2026-midterm-elections,manual_seed_needs_resolution
RSO-0019,Republican Senate seats after 2026 midterms,51,,Will the Republican Party hold exactly 51 Senate seats after the 2026 midterm elections?,will-the-republican-party-control-the-senate-after-the-2026-midterm-elections,,,,WRONG_MATCH_SEAT_RANGE_TO_SENATE_CONTROL,AUTO_ACCEPTED: accepted rank=1 score=1.2897 top=1.2897 second=1.1059; margin disabled; row filters passed,Will the Republican Party hold exactly 51 Senate seats after the 2026 midterm elections?,TODO_VERIFY,will-the-republican-party-hold-exactly-51-senate-seats-after-the-2026-midterm-elections,manual_seed_needs_resolution
RSO-0020,Republican Senate seats after 2026 midterms,52,,Will the Republican Party hold exactly 52 Senate seats after the 2026 midterm elections?,will-the-republican-party-control-the-senate-after-the-2026-midterm-elections,,,,WRONG_MATCH_SEAT_RANGE_TO_SENATE_CONTROL,AUTO_ACCEPTED: accepted rank=1 score=1.2897 top=1.2897 second=1.1059; margin disabled; row filters passed,Will the Republican Party hold exactly 52 Senate seats after the 2026 midterm elections?,TODO_VERIFY,will-the-republican-party-hold-exactly-52-senate-seats-after-the-2026-midterm-elections,manual_seed_needs_resolution
RSO-0050,Arizona Governor Election Winner,Democrat,,Will the Democratic Party win the Arizona Governor election in 2026?,TODO_VERIFY,,,,NEEDS_MANUAL_REVIEW,"No executable candidate passed filters after slug ladder; candidates=667; last_reject=missing_topic=['arizona', 'governor']",Will the Democratic Party win the Arizona Governor election in 2026?,TODO_VERIFY,will-the-democratic-party-win-the-arizona-governor-election-in-2026,manual_seed_needs_resolution
RSO-0051,Arizona Governor Election Winner,Republican,,Will the Republican Party win the Arizona Governor election in 2026?,TODO_VERIFY,,,,NEEDS_MANUAL_REVIEW,"No executable candidate passed filters after slug ladder; candidates=667; last_reject=missing_topic=['arizona', 'governor']",Will the Republican Party win the Arizona Governor election in 2026?,TODO_VERIFY,will-the-republican-party-win-the-arizona-governor-election-in-2026,manual_seed_needs_resolution
RSO-0093,Brazil Presidential Election First Round: Margin of Victory,Lula da Silva 15%+,,Brazil Presidential Election First Round: Margin of Victory — Lula da Silva 15%+,will-luiz-incio-lula-da-silva-win-the-first-round-of-the-2026-brazilian-presidential-election-by-1015-995,,,,WRONG_DUPLICATE_LULA_15_PLUS_MAPPED_TO_10_15,AUTO_ACCEPTED: accepted rank=1 score=1.1947 top=1.1947 second=1.1871; margin disabled; row filters passed,Brazil Presidential Election First Round: Margin of Victory — Lula da Silva 15%+,TODO_VERIFY,brazil-presidential-election-first-round-margin-of-victory-lula-da-silva-15,manual_seed_needs_resolution
RSO-0097,Brazil Presidential Election First Round: Margin of Victory,Flávio Bolsonaro 10%+,,Brazil Presidential Election First Round: Margin of Victory — Flávio Bolsonaro 10%+,TODO_VERIFY,,,,NEEDS_MANUAL_REVIEW,"No executable candidate passed filters after slug ladder; candidates=678; last_reject=missing_topic=['brazil', 'first round', 'presidential']",Brazil Presidential Election First Round: Margin of Victory — Flávio Bolsonaro 10%+,TODO_VERIFY,brazil-presidential-election-first-round-margin-of-victory-flavio-bolsonaro-10,manual_seed_needs_resolution
RSO-0155,São Paulo Governor Election Winner,Tarcísio de Freitas,,Will Tarcísio de Freitas win the São Paulo Governor election?,TODO_VERIFY,,,,NEEDS_MANUAL_REVIEW,"No executable candidate passed filters after slug ladder; candidates=667; last_reject=missing_topic=['sao paulo', 'governor']",Will Tarcísio de Freitas win the São Paulo Governor election?,TODO_VERIFY,will-tarcisio-de-freitas-win-the-sao-paulo-governor-election,manual_seed_needs_resolution
RSO-0156,São Paulo Governor Election Winner,Fernando Haddad,,Will Fernando Haddad win the São Paulo Governor election?,TODO_VERIFY,,,,NEEDS_MANUAL_REVIEW,"No executable candidate passed filters after slug ladder; candidates=667; last_reject=missing_topic=['sao paulo', 'governor']",Will Fernando Haddad win the São Paulo Governor election?,TODO_VERIFY,will-fernando-haddad-win-the-sao-paulo-governor-election,manual_seed_needs_resolution
RSO-0157,São Paulo Governor Election Winner,Kim Kataguiri,,Will Kim Kataguiri win the São Paulo Governor election?,TODO_VERIFY,,,,NEEDS_MANUAL_REVIEW,"No executable candidate passed filters after slug ladder; candidates=667; last_reject=missing_topic=['sao paulo', 'governor']",Will Kim Kataguiri win the São Paulo Governor election?,TODO_VERIFY,will-kim-kataguiri-win-the-sao-paulo-governor-election,manual_seed_needs_resolution
RSO-0158,São Paulo Governor Election Winner,Márcio França,,Will Márcio França win the São Paulo Governor election?,TODO_VERIFY,,,,NEEDS_MANUAL_REVIEW,"No executable candidate passed filters after slug ladder; candidates=667; last_reject=missing_topic=['sao paulo', 'governor']",Will Márcio França win the São Paulo Governor election?,TODO_VERIFY,will-marcio-franca-win-the-sao-paulo-governor-election,manual_seed_needs_resolution
RSO-0159,São Paulo Governor Election Winner,Erika Hilton,,Will Erika Hilton win the São Paulo Governor election?,TODO_VERIFY,,,,NEEDS_MANUAL_REVIEW,"No executable candidate passed filters after slug ladder; candidates=667; last_reject=missing_topic=['sao paulo', 'governor']",Will Erika Hilton win the São Paulo Governor election?,TODO_VERIFY,will-erika-hilton-win-the-sao-paulo-governor-election,manual_seed_needs_resolution
RSO-0174,Next Premier of Quebec,Paul St-Pierre Plamondon,,Will Paul St-Pierre Plamondon be the next Premier of Quebec?,TODO_VERIFY,,,,NEEDS_MANUAL_REVIEW,"No executable candidate passed filters after slug ladder; candidates=691; last_reject=missing_topic=['quebec', 'premier']",Will Paul St-Pierre Plamondon be the next Premier of Quebec?,TODO_VERIFY,will-paul-st-pierre-plamondon-be-the-next-premier-of-quebec,manual_seed_needs_resolution
RSO-0175,Next Premier of Quebec,Charles Milliard,,Will Charles Milliard be the next Premier of Quebec?,TODO_VERIFY,,,,NEEDS_MANUAL_REVIEW,"No executable candidate passed filters after slug ladder; candidates=691; last_reject=missing_topic=['quebec', 'premier']",Will Charles Milliard be the next Premier of Quebec?,TODO_VERIFY,will-charles-milliard-be-the-next-premier-of-quebec,manual_seed_needs_resolution
RSO-0176,Next Premier of Quebec,Christine Fréchette,,Will Christine Fréchette be the next Premier of Quebec?,TODO_VERIFY,,,,NEEDS_MANUAL_REVIEW,"No executable candidate passed filters after slug ladder; candidates=691; last_reject=missing_topic=['quebec', 'premier']",Will Christine Fréchette be the next Premier of Quebec?,TODO_VERIFY,will-christine-frechette-be-the-next-premier-of-quebec,manual_seed_needs_resolution
RSO-0177,Next Premier of Quebec,Bernard Drainville,,Will Bernard Drainville be the next Premier of Quebec?,TODO_VERIFY,,,,NEEDS_MANUAL_REVIEW,"No executable candidate passed filters after slug ladder; candidates=691; last_reject=missing_topic=['quebec', 'premier']",Will Bernard Drainville be the next Premier of Quebec?,TODO_VERIFY,will-bernard-drainville-be-the-next-premier-of-quebec,manual_seed_needs_resolution
RSO-0178,Next Premier of Quebec,Ruba Ghazal,,Will Ruba Ghazal be the next Premier of Quebec?,TODO_VERIFY,,,,NEEDS_MANUAL_REVIEW,"No executable candidate passed filters after slug ladder; candidates=691; last_reject=missing_topic=['quebec', 'premier']",Will Ruba Ghazal be the next Premier of Quebec?,TODO_VERIFY,will-ruba-ghazal-be-the-next-premier-of-quebec,manual_seed_needs_resolution
RSO-0179,Next Premier of Quebec,Sol Zanetti,,Will Sol Zanetti be the next Premier of Quebec?,TODO_VERIFY,,,,NEEDS_MANUAL_REVIEW,"No executable candidate passed filters after slug ladder; candidates=691; last_reject=missing_topic=['quebec', 'premier']",Will Sol Zanetti be the next Premier of Quebec?,TODO_VERIFY,will-sol-zanetti-be-the-next-premier-of-quebec,manual_seed_needs_resolution
RSO-0180,Next Premier of Quebec,Éric Duhaime,,Will Éric Duhaime be the next Premier of Quebec?,TODO_VERIFY,,,,NEEDS_MANUAL_REVIEW,"No executable candidate passed filters after slug ladder; candidates=691; last_reject=missing_topic=['quebec', 'premier']",Will Éric Duhaime be the next Premier of Quebec?,TODO_VERIFY,will-eric-duhaime-be-the-next-premier-of-quebec,manual_seed_needs_resolution
