tracking_id,parent_market_name,primary_outcome_to_track,verification_status,question,slug,gamma_market_id,volume,liquidity,issue,notes,search_query,exact_polymarket_slug,slug_search_hint,status,event_id,condition_id,description_text,rules_text,resolution_source,end_date,active,closed,resolved,archived,enable_order_book,outcomes_json,clob_token_ids_json,outcome_token_map_json,yes_token_id,no_token_id,market_url,verified_at,candidate_matches_json,resolver_notes
RSO-0016,Republican Senate seats after 2026 midterms,48,NEEDS_MANUAL_REVIEW,Will the Republican Party hold exactly 48 Senate seats after the 2026 midterm elections?,will-the-republican-party-control-the-senate-after-the-2026-midterm-elections,,,,WRONG_MATCH_SEAT_RANGE_TO_SENATE_CONTROL,AUTO_ACCEPTED: accepted rank=1 score=1.2897 top=1.2897 second=1.1059; margin disabled; row filters passed,Will the Republican Party hold exactly 48 Senate seats after the 2026 midterm elections?,TODO_VERIFY,will-the-republican-party-hold-exactly-48-senate-seats-after-the-2026-midterm-elections,manual_seed_needs_resolution,,,,,,,,,,,,,,,,,,,"[{""score"":1.171,""id"":""562794"",""slug"":""will-the-republican-party-control-the-senate-after-the-2026-midterm-elections"",""question"":""Will the Republican Party control the Senate after the 2026 Midterm elections?"",""event_title"":""Which party will win the Senate in 2026?"",""endDate"":""2026-11-03T00:00:00Z"",""volume"":""1309267.4489230118"",""source"":""/events?search"",""active"":true,""closed"":false},{""score"":1.1059,""id"":""562803"",""slug"":""will-the-republican-party-control-the-house-after-the-2026-midterm-elections"",""question"":""Will the Republican Party control the House after the 2026 Midterm elections?"",""event_title"":""Which party will win the House in 2026?"",""endDate"":""2026-11-03T00:00:00Z"",""volume"":""3498634.050246942"",""source"":""/events?search"",""active"":true,""closed"":false},{""score"":0.9311,""id"":""565064"",""slug"":""will-the-republicans-win-the-2028-us-presidential-election"",""question"":""Will the Republicans win the 2028 US Presidential Election?"",""event_title"":""Which party wins 2028 US Presidential Election?"",""endDate"":""2028-11-07T00:00:00Z"",""volume"":""1045498.7324869944"",""source"":""/events?search"",""active"":true,""closed"":false},{""score"":0.8476,""id"":""561989"",""slug"":""will-ted-cruz-win-the-2028-republican-presidential-nomination"",""question"":""Will Ted Cruz win the 2028 Republican presidential nomination?"",""event_title"":""Republican Presidential Nominee 2028"",""endDate"":""2028-11-07T00:00:00Z"",""volume"":""18329911.09548212"",""source"":""/events?search"",""active"":true,""closed"":false},{""score"":0.8476,""id"":""562007"",""slug"":""will-joe-kent-win-the-2028-republican-presidential-nomination"",""question"":""Will Joe Kent win the 2028 Republican presidential nomination?"",""event_title"":""Republican Presidential Nominee 2028"",""endDate"":""2028-11-07T00:00:00Z"",""volume"":""7807168.278371333"",""source"":""/events?search"",""active"":true,""closed"":false}]",User marked row as needing manual review.
RSO-0017,Republican Senate seats after 2026 midterms,49,NEEDS_MANUAL_REVIEW,Will the Republican Party hold exactly 49 Senate seats after the 2026 midterm elections?,will-the-republican-party-control-the-senate-after-the-2026-midterm-elections,,,,WRONG_MATCH_SEAT_RANGE_TO_SENATE_CONTROL,AUTO_ACCEPTED: accepted rank=1 score=1.2897 top=1.2897 second=1.1059; margin disabled; row filters passed,Will the Republican Party hold exactly 49 Senate seats after the 2026 midterm elections?,TODO_VERIFY,will-the-republican-party-hold-exactly-49-senate-seats-after-the-2026-midterm-elections,manual_seed_needs_resolution,,,,,,,,,,,,,,,,,,,"[{""score"":1.171,""id"":""562794"",""slug"":""will-the-republican-party-control-the-senate-after-the-2026-midterm-elections"",""question"":""Will the Republican Party control the Senate after the 2026 Midterm elections?"",""event_title"":""Which party will win the Senate in 2026?"",""endDate"":""2026-11-03T00:00:00Z"",""volume"":""1309267.4489230118"",""source"":""/events?search"",""active"":true,""closed"":false},{""score"":1.1059,""id"":""562803"",""slug"":""will-the-republican-party-control-the-house-after-the-2026-midterm-elections"",""question"":""Will the Republican Party control the House after the 2026 Midterm elections?"",""event_title"":""Which party will win the House in 2026?"",""endDate"":""2026-11-03T00:00:00Z"",""volume"":""3498634.050246942"",""source"":""/events?search"",""active"":true,""closed"":false},{""score"":0.9311,""id"":""565064"",""slug"":""will-the-republicans-win-the-2028-us-presidential-election"",""question"":""Will the Republicans win the 2028 US Presidential Election?"",""event_title"":""Which party wins 2028 US Presidential Election?"",""endDate"":""2028-11-07T00:00:00Z"",""volume"":""1045498.7324869944"",""source"":""/events?search"",""active"":true,""closed"":false},{""score"":0.8476,""id"":""561989"",""slug"":""will-ted-cruz-win-the-2028-republican-presidential-nomination"",""question"":""Will Ted Cruz win the 2028 Republican presidential nomination?"",""event_title"":""Republican Presidential Nominee 2028"",""endDate"":""2028-11-07T00:00:00Z"",""volume"":""18329911.09548212"",""source"":""/events?search"",""active"":true,""closed"":false},{""score"":0.8476,""id"":""562007"",""slug"":""will-joe-kent-win-the-2028-republican-presidential-nomination"",""question"":""Will Joe Kent win the 2028 Republican presidential nomination?"",""event_title"":""Republican Presidential Nominee 2028"",""endDate"":""2028-11-07T00:00:00Z"",""volume"":""7807168.278371333"",""source"":""/events?search"",""active"":true,""closed"":false}]",User marked row as needing manual review.
RSO-0018,Republican Senate seats after 2026 midterms,50,NEEDS_MANUAL_REVIEW,Will the Republican Party hold exactly 50 Senate seats after the 2026 midterm elections?,will-the-republican-party-control-the-senate-after-the-2026-midterm-elections,,,,WRONG_MATCH_SEAT_RANGE_TO_SENATE_CONTROL,AUTO_ACCEPTED: accepted rank=1 score=1.2897 top=1.2897 second=1.1059; margin disabled; row filters passed,Will the Republican Party hold exactly 50 Senate seats after the 2026 midterm elections?,TODO_VERIFY,will-the-republican-party-hold-exactly-50-senate-seats-after-the-2026-midterm-elections,manual_seed_needs_resolution,,,,,,,,,,,,,,,,,,,"[{""score"":1.171,""id"":""562794"",""slug"":""will-the-republican-party-control-the-senate-after-the-2026-midterm-elections"",""question"":""Will the Republican Party control the Senate after the 2026 Midterm elections?"",""event_title"":""Which party will win the Senate in 2026?"",""endDate"":""2026-11-03T00:00:00Z"",""volume"":""1309267.4489230118"",""source"":""/events?search"",""active"":true,""closed"":false},{""score"":1.1059,""id"":""562803"",""slug"":""will-the-republican-party-control-the-house-after-the-2026-midterm-elections"",""question"":""Will the Republican Party control the House after the 2026 Midterm elections?"",""event_title"":""Which party will win the House in 2026?"",""endDate"":""2026-11-03T00:00:00Z"",""volume"":""3498634.050246942"",""source"":""/events?search"",""active"":true,""closed"":false},{""score"":0.9311,""id"":""565064"",""slug"":""will-the-republicans-win-the-2028-us-presidential-election"",""question"":""Will the Republicans win the 2028 US Presidential Election?"",""event_title"":""Which party wins 2028 US Presidential Election?"",""endDate"":""2028-11-07T00:00:00Z"",""volume"":""1045498.7324869944"",""source"":""/events?search"",""active"":true,""closed"":false},{""score"":0.8476,""id"":""561989"",""slug"":""will-ted-cruz-win-the-2028-republican-presidential-nomination"",""question"":""Will Ted Cruz win the 2028 Republican presidential nomination?"",""event_title"":""Republican Presidential Nominee 2028"",""endDate"":""2028-11-07T00:00:00Z"",""volume"":""18329911.09548212"",""source"":""/events?search"",""active"":true,""closed"":false},{""score"":0.8476,""id"":""562007"",""slug"":""will-joe-kent-win-the-2028-republican-presidential-nomination"",""question"":""Will Joe Kent win the 2028 Republican presidential nomination?"",""event_title"":""Republican Presidential Nominee 2028"",""endDate"":""2028-11-07T00:00:00Z"",""volume"":""7807168.278371333"",""source"":""/events?search"",""active"":true,""closed"":false}]",User marked row as needing manual review.
RSO-0019,Republican Senate seats after 2026 midterms,51,NEEDS_MANUAL_REVIEW,Will the Republican Party hold exactly 51 Senate seats after the 2026 midterm elections?,will-the-republican-party-control-the-senate-after-the-2026-midterm-elections,,,,WRONG_MATCH_SEAT_RANGE_TO_SENATE_CONTROL,AUTO_ACCEPTED: accepted rank=1 score=1.2897 top=1.2897 second=1.1059; margin disabled; row filters passed,Will the Republican Party hold exactly 51 Senate seats after the 2026 midterm elections?,TODO_VERIFY,will-the-republican-party-hold-exactly-51-senate-seats-after-the-2026-midterm-elections,manual_seed_needs_resolution,,,,,,,,,,,,,,,,,,,"[{""score"":1.171,""id"":""562794"",""slug"":""will-the-republican-party-control-the-senate-after-the-2026-midterm-elections"",""question"":""Will the Republican Party control the Senate after the 2026 Midterm elections?"",""event_title"":""Which party will win the Senate in 2026?"",""endDate"":""2026-11-03T00:00:00Z"",""volume"":""1309267.4489230118"",""source"":""/events?search"",""active"":true,""closed"":false},{""score"":1.1059,""id"":""562803"",""slug"":""will-the-republican-party-control-the-house-after-the-2026-midterm-elections"",""question"":""Will the Republican Party control the House after the 2026 Midterm elections?"",""event_title"":""Which party will win the House in 2026?"",""endDate"":""2026-11-03T00:00:00Z"",""volume"":""3498634.050246942"",""source"":""/events?search"",""active"":true,""closed"":false},{""score"":0.9311,""id"":""565064"",""slug"":""will-the-republicans-win-the-2028-us-presidential-election"",""question"":""Will the Republicans win the 2028 US Presidential Election?"",""event_title"":""Which party wins 2028 US Presidential Election?"",""endDate"":""2028-11-07T00:00:00Z"",""volume"":""1045498.7324869944"",""source"":""/events?search"",""active"":true,""closed"":false},{""score"":0.8476,""id"":""561989"",""slug"":""will-ted-cruz-win-the-2028-republican-presidential-nomination"",""question"":""Will Ted Cruz win the 2028 Republican presidential nomination?"",""event_title"":""Republican Presidential Nominee 2028"",""endDate"":""2028-11-07T00:00:00Z"",""volume"":""18329911.09548212"",""source"":""/events?search"",""active"":true,""closed"":false},{""score"":0.8476,""id"":""562007"",""slug"":""will-joe-kent-win-the-2028-republican-presidential-nomination"",""question"":""Will Joe Kent win the 2028 Republican presidential nomination?"",""event_title"":""Republican Presidential Nominee 2028"",""endDate"":""2028-11-07T00:00:00Z"",""volume"":""7807168.278371333"",""source"":""/events?search"",""active"":true,""closed"":false}]",User marked row as needing manual review.
RSO-0020,Republican Senate seats after 2026 midterms,52,NEEDS_MANUAL_REVIEW,Will the Republican Party hold exactly 52 Senate seats after the 2026 midterm elections?,will-the-republican-party-control-the-senate-after-the-2026-midterm-elections,,,,WRONG_MATCH_SEAT_RANGE_TO_SENATE_CONTROL,AUTO_ACCEPTED: accepted rank=1 score=1.2897 top=1.2897 second=1.1059; margin disabled; row filters passed,Will the Republican Party hold exactly 52 Senate seats after the 2026 midterm elections?,TODO_VERIFY,will-the-republican-party-hold-exactly-52-senate-seats-after-the-2026-midterm-elections,manual_seed_needs_resolution,,,,,,,,,,,,,,,,,,,"[{""score"":1.171,""id"":""562794"",""slug"":""will-the-republican-party-control-the-senate-after-the-2026-midterm-elections"",""question"":""Will the Republican Party control the Senate after the 2026 Midterm elections?"",""event_title"":""Which party will win the Senate in 2026?"",""endDate"":""2026-11-03T00:00:00Z"",""volume"":""1309267.4489230118"",""source"":""/events?search"",""active"":true,""closed"":false},{""score"":1.1059,""id"":""562803"",""slug"":""will-the-republican-party-control-the-house-after-the-2026-midterm-elections"",""question"":""Will the Republican Party control the House after the 2026 Midterm elections?"",""event_title"":""Which party will win the House in 2026?"",""endDate"":""2026-11-03T00:00:00Z"",""volume"":""3498634.050246942"",""source"":""/events?search"",""active"":true,""closed"":false},{""score"":0.9311,""id"":""565064"",""slug"":""will-the-republicans-win-the-2028-us-presidential-election"",""question"":""Will the Republicans win the 2028 US Presidential Election?"",""event_title"":""Which party wins 2028 US Presidential Election?"",""endDate"":""2028-11-07T00:00:00Z"",""volume"":""1045498.7324869944"",""source"":""/events?search"",""active"":true,""closed"":false},{""score"":0.8476,""id"":""561989"",""slug"":""will-ted-cruz-win-the-2028-republican-presidential-nomination"",""question"":""Will Ted Cruz win the 2028 Republican presidential nomination?"",""event_title"":""Republican Presidential Nominee 2028"",""endDate"":""2028-11-07T00:00:00Z"",""volume"":""18329911.09548212"",""source"":""/events?search"",""active"":true,""closed"":false},{""score"":0.8476,""id"":""562007"",""slug"":""will-joe-kent-win-the-2028-republican-presidential-nomination"",""question"":""Will Joe Kent win the 2028 Republican presidential nomination?"",""event_title"":""Republican Presidential Nominee 2028"",""endDate"":""2028-11-07T00:00:00Z"",""volume"":""7807168.278371333"",""source"":""/events?search"",""active"":true,""closed"":false}]",User marked row as needing manual review.
RSO-0050,Arizona Governor Election Winner,Democrat,NEEDS_MANUAL_REVIEW,Will the Democratic Party win the Arizona Governor election in 2026?,TODO_VERIFY,,,,NEEDS_MANUAL_REVIEW,"No executable candidate passed filters after slug ladder; candidates=667; last_reject=missing_topic=['arizona', 'governor']",Will the Democratic Party win the Arizona Governor election in 2026?,TODO_VERIFY,will-the-democratic-party-win-the-arizona-governor-election-in-2026,manual_seed_needs_resolution,,,,,,,,,,,,,,,,,,,"[{""score"":1.0712,""id"":""562793"",""slug"":""will-the-democratic-party-control-the-senate-after-the-2026-midterm-elections"",""question"":""Will the Democratic Party control the Senate after the 2026 Midterm elections?"",""event_title"":""Which party will win the Senate in 2026?"",""endDate"":""2026-11-03T00:00:00Z"",""volume"":""1478260.5814440108"",""source"":""/events?search"",""active"":true,""closed"":false},{""score"":1.0563,""id"":""562802"",""slug"":""will-the-democratic-party-control-the-house-after-the-2026-midterm-elections"",""question"":""Will the Democratic Party control the House after the 2026 Midterm elections?"",""event_title"":""Which party will win the House in 2026?"",""endDate"":""2026-11-03T00:00:00Z"",""volume"":""4197479.623222934"",""source"":""/events?search"",""active"":true,""closed"":false},{""score"":0.9855,""id"":""565065"",""slug"":""will-the-democrats-win-the-2028-us-presidential-election"",""question"":""Will the Democrats win the 2028 US Presidential Election?"",""event_title"":""Which party wins 2028 US Presidential Election?"",""endDate"":""2028-11-07T00:00:00Z"",""volume"":""827363.4333929997"",""source"":""/events?search"",""active"":true,""closed"":false},{""score"":0.8987,""id"":""559685"",""slug"":""will-mrbeast-win-the-2028-democratic-presidential-nomination"",""question"":""Will MrBeast win the 2028 Democratic presidential nomination?"",""event_title"":""Democratic Presidential Nominee 2028"",""endDate"":""2028-11-07T00:00:00Z"",""volume"":""39142019.596910775"",""source"":""/events?search"",""active"":true,""closed"":false},{""score"":0.898,""id"":""559672"",""slug"":""will-roy-cooper-win-the-2028-democratic-presidential-nomination-286"",""question"":""Will Roy Cooper win the 2028 Democratic presidential nomination?"",""event_title"":""Democratic Presidential Nominee 2028"",""endDate"":""2028-11-07T00:00:00Z"",""volume"":""30800105.019161433"",""source"":""/events?search"",""active"":true,""closed"":false}]",User marked row as needing manual review.
RSO-0051,Arizona Governor Election Winner,Republican,NEEDS_MANUAL_REVIEW,Will the Republican Party win the Arizona Governor election in 2026?,TODO_VERIFY,,,,NEEDS_MANUAL_REVIEW,"No executable candidate passed filters after slug ladder; candidates=667; last_reject=missing_topic=['arizona', 'governor']",Will the Republican Party win the Arizona Governor election in 2026?,TODO_VERIFY,will-the-republican-party-win-the-arizona-governor-election-in-2026,manual_seed_needs_resolution,,,,,,,,,,,,,,,,,,,"[{""score"":1.0712,""id"":""562794"",""slug"":""will-the-republican-party-control-the-senate-after-the-2026-midterm-elections"",""question"":""Will the Republican Party control the Senate after the 2026 Midterm elections?"",""event_title"":""Which party will win the Senate in 2026?"",""endDate"":""2026-11-03T00:00:00Z"",""volume"":""1309267.4489230118"",""source"":""/events?search"",""active"":true,""closed"":false},{""score"":1.0563,""id"":""562803"",""slug"":""will-the-republican-party-control-the-house-after-the-2026-midterm-elections"",""question"":""Will the Republican Party control the House after the 2026 Midterm elections?"",""event_title"":""Which party will win the House in 2026?"",""endDate"":""2026-11-03T00:00:00Z"",""volume"":""3498634.050246942"",""source"":""/events?search"",""active"":true,""closed"":false},{""score"":0.9987,""id"":""565064"",""slug"":""will-the-republicans-win-the-2028-us-presidential-election"",""question"":""Will the Republicans win the 2028 US Presidential Election?"",""event_title"":""Which party wins 2028 US Presidential Election?"",""endDate"":""2028-11-07T00:00:00Z"",""volume"":""1045498.7324869944"",""source"":""/events?search"",""active"":true,""closed"":false},{""score"":0.8966,""id"":""561989"",""slug"":""will-ted-cruz-win-the-2028-republican-presidential-nomination"",""question"":""Will Ted Cruz win the 2028 Republican presidential nomination?"",""event_title"":""Republican Presidential Nominee 2028"",""endDate"":""2028-11-07T00:00:00Z"",""volume"":""18329911.09548212"",""source"":""/events?search"",""active"":true,""closed"":false},{""score"":0.8966,""id"":""562007"",""slug"":""will-joe-kent-win-the-2028-republican-presidential-nomination"",""question"":""Will Joe Kent win the 2028 Republican presidential nomination?"",""event_title"":""Republican Presidential Nominee 2028"",""endDate"":""2028-11-07T00:00:00Z"",""volume"":""7807168.278371333"",""source"":""/events?search"",""active"":true,""closed"":false}]",User marked row as needing manual review.
RSO-0093,Brazil Presidential Election First Round: Margin of Victory,Lula da Silva 15%+,NEEDS_MANUAL_REVIEW,Brazil Presidential Election First Round: Margin of Victory — Lula da Silva 15%+,will-luiz-incio-lula-da-silva-win-the-first-round-of-the-2026-brazilian-presidential-election-by-1015-995,,,,WRONG_DUPLICATE_LULA_15_PLUS_MAPPED_TO_10_15,AUTO_ACCEPTED: accepted rank=1 score=1.1947 top=1.1947 second=1.1871; margin disabled; row filters passed,Brazil Presidential Election First Round: Margin of Victory — Lula da Silva 15%+,TODO_VERIFY,brazil-presidential-election-first-round-margin-of-victory-lula-da-silva-15,manual_seed_needs_resolution,,,,,,,,,,,,,,,,,,,"[{""score"":0.6383,""id"":""561251"",""slug"":""will-lebron-james-win-the-2028-us-presidential-election"",""question"":""Will LeBron James win the 2028 US Presidential Election?"",""event_title"":""Presidential Election Winner 2028"",""endDate"":""2028-11-07T00:00:00Z"",""volume"":""52906836.24762535"",""source"":""/events?search"",""active"":true,""closed"":false},{""score"":0.6277,""id"":""561265"",""slug"":""will-jalen-brunson-win-the-2028-us-presidential-election"",""question"":""Will Jalen Brunson win the 2028 US Presidential Election?"",""event_title"":""Presidential Election Winner 2028"",""endDate"":""2028-11-07T00:00:00Z"",""volume"":""1068089.2265930015"",""source"":""/events?search"",""active"":true,""closed"":false},{""score"":0.6272,""id"":""561229"",""slug"":""will-jd-vance-win-the-2028-us-presidential-election"",""question"":""Will JD Vance win the 2028 US Presidential Election?"",""event_title"":""Presidential Election Winner 2028"",""endDate"":""2028-11-07T00:00:00Z"",""volume"":""14357281.397497915"",""source"":""/events?search"",""active"":true,""closed"":false},{""score"":0.6272,""id"":""561247"",""slug"":""will-tim-walz-win-the-2028-us-presidential-election"",""question"":""Will Tim Walz win the 2028 US Presidential Election?"",""event_title"":""Presidential Election Winner 2028"",""endDate"":""2028-11-07T00:00:00Z"",""volume"":""42612379.66674299"",""source"":""/events?search"",""active"":true,""closed"":false},{""score"":0.626,""id"":""561256"",""slug"":""will-zohran-mamdani-win-the-2028-us-presidential-election"",""question"":""Will Zohran Mamdani win the 2028 US Presidential Election?"",""event_title"":""Presidential Election Winner 2028"",""endDate"":""2028-11-07T00:00:00Z"",""volume"":""20759168.760086473"",""source"":""/events?search"",""active"":true,""closed"":false}]",User marked row as needing manual review.
RSO-0097,Brazil Presidential Election First Round: Margin of Victory,Flávio Bolsonaro 10%+,NEEDS_MANUAL_REVIEW,Brazil Presidential Election First Round: Margin of Victory — Flávio Bolsonaro 10%+,TODO_VERIFY,,,,NEEDS_MANUAL_REVIEW,"No executable candidate passed filters after slug ladder; candidates=678; last_reject=missing_topic=['brazil', 'first round', 'presidential']",Brazil Presidential Election First Round: Margin of Victory — Flávio Bolsonaro 10%+,TODO_VERIFY,brazil-presidential-election-first-round-margin-of-victory-flavio-bolsonaro-10,manual_seed_needs_resolution,,,,,,,,,,,,,,,,,,,"[{""score"":0.6336,""id"":""561251"",""slug"":""will-lebron-james-win-the-2028-us-presidential-election"",""question"":""Will LeBron James win the 2028 US Presidential Election?"",""event_title"":""Presidential Election Winner 2028"",""endDate"":""2028-11-07T00:00:00Z"",""volume"":""52906836.24762535"",""source"":""/events?search"",""active"":true,""closed"":false},{""score"":0.6233,""id"":""561265"",""slug"":""will-jalen-brunson-win-the-2028-us-presidential-election"",""question"":""Will Jalen Brunson win the 2028 US Presidential Election?"",""event_title"":""Presidential Election Winner 2028"",""endDate"":""2028-11-07T00:00:00Z"",""volume"":""1068089.2265930015"",""source"":""/events?search"",""active"":true,""closed"":false},{""score"":0.6227,""id"":""561229"",""slug"":""will-jd-vance-win-the-2028-us-presidential-election"",""question"":""Will JD Vance win the 2028 US Presidential Election?"",""event_title"":""Presidential Election Winner 2028"",""endDate"":""2028-11-07T00:00:00Z"",""volume"":""14357281.397497915"",""source"":""/events?search"",""active"":true,""closed"":false},{""score"":0.6227,""id"":""561247"",""slug"":""will-tim-walz-win-the-2028-us-presidential-election"",""question"":""Will Tim Walz win the 2028 US Presidential Election?"",""event_title"":""Presidential Election Winner 2028"",""endDate"":""2028-11-07T00:00:00Z"",""volume"":""42612379.66674299"",""source"":""/events?search"",""active"":true,""closed"":false},{""score"":0.6217,""id"":""561256"",""slug"":""will-zohran-mamdani-win-the-2028-us-presidential-election"",""question"":""Will Zohran Mamdani win the 2028 US Presidential Election?"",""event_title"":""Presidential Election Winner 2028"",""endDate"":""2028-11-07T00:00:00Z"",""volume"":""20759168.760086473"",""source"":""/events?search"",""active"":true,""closed"":false}]",User marked row as needing manual review.
RSO-0155,São Paulo Governor Election Winner,Tarcísio de Freitas,NEEDS_MANUAL_REVIEW,Will Tarcísio de Freitas win the São Paulo Governor election?,TODO_VERIFY,,,,NEEDS_MANUAL_REVIEW,"No executable candidate passed filters after slug ladder; candidates=667; last_reject=missing_topic=['sao paulo', 'governor']",Will Tarcísio de Freitas win the São Paulo Governor election?,TODO_VERIFY,will-tarcisio-de-freitas-win-the-sao-paulo-governor-election,manual_seed_needs_resolution,,,,,,,,,,,,,,,,,,,"[{""score"":0.8031,""id"":""565064"",""slug"":""will-the-republicans-win-the-2028-us-presidential-election"",""question"":""Will the Republicans win the 2028 US Presidential Election?"",""event_title"":""Which party wins 2028 US Presidential Election?"",""endDate"":""2028-11-07T00:00:00Z"",""volume"":""1045498.7324869944"",""source"":""/events?search"",""active"":true,""closed"":false},{""score"":0.7992,""id"":""565065"",""slug"":""will-the-democrats-win-the-2028-us-presidential-election"",""question"":""Will the Democrats win the 2028 US Presidential Election?"",""event_title"":""Which party wins 2028 US Presidential Election?"",""endDate"":""2028-11-07T00:00:00Z"",""volume"":""827363.4333929997"",""source"":""/events?search"",""active"":true,""closed"":false},{""score"":0.7916,""id"":""561246"",""slug"":""will-ron-desantis-win-the-2028-us-presidential-election"",""question"":""Will Ron DeSantis win the 2028 US Presidential Election?"",""event_title"":""Presidential Election Winner 2028"",""endDate"":""2028-11-07T00:00:00Z"",""volume"":""11896205.537173146"",""source"":""/events?search"",""active"":true,""closed"":false},{""score"":0.7845,""id"":""561234"",""slug"":""will-marco-rubio-win-the-2028-us-presidential-election"",""question"":""Will Marco Rubio win the 2028 US Presidential Election?"",""event_title"":""Presidential Election Winner 2028"",""endDate"":""2028-11-07T00:00:00Z"",""volume"":""10833613.968342984"",""source"":""/events?search"",""active"":true,""closed"":false},{""score"":0.7786,""id"":""561260"",""slug"":""will-thomas-massie-win-the-2028-us-presidential-election"",""question"":""Will Thomas Massie win the 2028 US Presidential Election?"",""event_title"":""Presidential Election Winner 2028"",""endDate"":""2028-11-07T00:00:00Z"",""volume"":""7467488.103504937"",""source"":""/events?search"",""active"":true,""closed"":false}]",User marked row as needing manual review.
