tracking_id,region,parent_market_name,market_name,question,gamma_market_id,event_id,condition_id,exact_polymarket_slug,description_text,rules_text,resolution_source,end_date,active,closed,enable_order_book,outcomes_json,clob_token_ids_json,yes_token_id,no_token_id,volume,liquidity,market_url
RSO-0001,US,"Senate control, 2026","Senate control, 2026 — Republican Party",Will the Republican Party control the Senate after the 2026 Midterm elections?,562794,32224,0x86bfb53af7250a40928975c551d12c185b762fa4ce0b40c6a64a50c946d72587,will-the-republican-party-control-the-senate-after-the-2026-midterm-elections,"This market will resolve according to the party that controls the Senate following the 2026 U.S. Senate elections scheduled for November 3, 2026.

Senate control is defined as having more than half of the voting Senate members, or half of the voting Senate members and the Vice Presidency.

If the outcome of this election is ambiguous given the above rules, this market will remain open until the Majority Leader of the US Senate is selected following the 2026 US general election, at which point it will resolve to the party the majority leader is affiliated with at the time of their election to that position. If the elected majority leader does not caucus with any listed party this market will resolve “Other”.

Determination of which party controls the Senate after the 2026 US Senate elections will be based on a consensus of credible reporting, or if there is ambiguity, final federal and/or state election authority certification or other final official determination of the 2026 election results.",,,2026-11-03T00:00:00Z,True,False,True,"[""Yes"",""No""]","[""51939490109676186832507970701169130490548061087912630009168726706475001411420"",""108587038225191871355030577171066853142535232042155117887981453750193713427381""]",51939490109676186832507970701169130490548061087912630009168726706475001411420,108587038225191871355030577171066853142535232042155117887981453750193713427381,1308930.158923012,164824.368,https://polymarket.com/event/will-the-republican-party-control-the-senate-after-the-2026-midterm-elections
RSO-0003,US,"House control, 2026","House control, 2026 — Republican Party",Will the Republican Party control the House after the 2026 Midterm elections?,562803,32225,0x4e4f77e7dbf4cab666e9a1943674d7ae66348e862df03ea6f44b11eb95731928,will-the-republican-party-control-the-house-after-the-2026-midterm-elections,"This market will resolve according to the party that controls the House of Representatives following the 2026 U.S. House elections scheduled for November 3, 2026.

House control is defined as having more than half of the voting members of the U.S. House of Representatives.

If the outcome of this election is ambiguous given the above rules, this market will remain open until the Speaker of the House is selected following the 2026 U.S. general election, at which point it will resolve to the party the Speaker is affiliated with at the time of their election to that position. If the elected Speaker does not caucus with any listed party this market will resolve “Other”.

Determination of which party controls the House after the 2026 U.S. House elections will be based on a consensus of credible reporting, or if there is ambiguity, final federal and/or state election authority certification or other final official determination of the 2026 election results.",,,2026-11-03T00:00:00Z,True,False,True,"[""Yes"",""No""]","[""65139230827417363158752884968303867495725894165574887635816574090175320800482"",""17371217118862125782438074585166210555214661810823929795910191856905580975576""]",65139230827417363158752884968303867495725894165574887635816574090175320800482,17371217118862125782438074585166210555214661810823929795910191856905580975576,3456201.5151959434,389706.002,https://polymarket.com/event/will-the-republican-party-control-the-house-after-the-2026-midterm-elections
RSO-0026,US,Maine Senate Election Winner,Maine Senate Election Winner — Democrat,Will the Democrats win the Maine Senate race in 2026?,630772,57650,0x66bbf6d55e0296278858b3147689f3df9259374f158f9f028b608baa322a639c,will-the-democrats-win-the-maine-senate-race-in-2026,"This market will resolve according to the winner of the 2026 midterm Maine U.S. Senate election, inclusive of any run-offs.

A candidate shall be considered to represent a party in the event that he or she is the nominee of the party in question. Candidates other than the Democratic or Republican nominee (e.g., Greens, Libertarian, independent) may be added at a later date.

Candidates who run as independents will not be encompassed by the “Democrat” or “Republican” options regardless of any affiliation they may have with the party.

The resolution source for this market is the Associated Press, Fox News, and NBC. This market will resolve once all three sources call the race for the same candidate. If all three sources haven’t called the race in this state for the same candidate, this market will resolve based on the official certification.",,,,True,False,True,"[""Yes"",""No""]","[""7589880081658059374445882095611024032084645048848237404312287942463647821549"",""6136336712352911156426560180855478229745540927722899997193789497766196705020""]",7589880081658059374445882095611024032084645048848237404312287942463647821549,6136336712352911156426560180855478229745540927722899997193789497766196705020,348952.6032560004,55637.3674,https://polymarket.com/event/will-the-democrats-win-the-maine-senate-race-in-2026
RSO-0028,US,Texas Senate Election Winner,Texas Senate Election Winner — Ken Paxton (R),Will the Republicans win the Texas Senate race in 2026?,630964,57672,0x94521176f57d2ce81dde01e0b7699ca4279423042d37ed53908f0c8bfefe7e14,will-the-republicans-win-the-texas-senate-race-in-2026,"This market will resolve according to the winner of the 2026 midterm Texas U.S. Senate election, inclusive of any run-offs.

A candidate shall be considered to represent a party in the event that he or she is the nominee of the party in question. Candidates other than the Democratic or Republican nominee (e.g., Greens, Libertarian, independent) may be added at a later date.

Candidates who run as independents will not be encompassed by the “Democrat” or “Republican” options regardless of any affiliation they may have with the party.

The resolution source for this market is the Associated Press, Fox News, and NBC. This market will resolve once all three sources call the race for the same candidate. If all three sources haven’t called the race in this state for the same candidate, this market will resolve based on the official certification.",,,,True,False,True,"[""Yes"",""No""]","[""21265207456609426291246075480390336499088453711419597084147957999650569091884"",""9846414914422486942750462555692240718767368950832862364324602361738794436048""]",21265207456609426291246075480390336499088453711419597084147957999650569091884,9846414914422486942750462555692240718767368950832862364324602361738794436048,302597.4057009986,46884.8308,https://polymarket.com/event/will-the-republicans-win-the-texas-senate-race-in-2026
RSO-0038,US,Michigan Senate Election Winner,Michigan Senate Election Winner — Democrat,Will the Democrats win the Michigan Senate race in 2026?,630805,57658,0xbfeb6d4cf3eab6071e204219b0647c8224d63a12778df467311b5f2a4b3a5bd4,will-the-democrats-win-the-michigan-senate-race-in-2026,"This market will resolve according to the winner of the 2026 midterm Michigan U.S. Senate election, inclusive of any run-offs.

A candidate shall be considered to represent a party in the event that he or she is the nominee of the party in question. Candidates other than the Democratic or Republican nominee (e.g., Greens, Libertarian, independent) may be added at a later date.

Candidates who run as independents will not be encompassed by the “Democrat” or “Republican” options regardless of any affiliation they may have with the party.

The resolution source for this market is the Associated Press, Fox News, and NBC. This market will resolve once all three sources call the race for the same candidate. If all three sources haven’t called the race in this state for the same candidate, this market will resolve based on the official certification.",,,,True,False,True,"[""Yes"",""No""]","[""71772627544132140586824126381855151743830987860593343955509593715269534710061"",""64025664961497419708095468282573682984741903075312816516046832361290996190088""]",71772627544132140586824126381855151743830987860593343955509593715269534710061,64025664961497419708095468282573682984741903075312816516046832361290996190088,83753.38247100009,8365.3341,https://polymarket.com/event/will-the-democrats-win-the-michigan-senate-race-in-2026
RSO-0040,US,Ohio Senate Election Winner,Ohio Senate Election Winner — Sherrod Brown (D),Will the Democrats win the Ohio Senate race in 2026?,631057,57682,0x968a1a79e001d49fa3ee1429e3b95eb01797587740f86d4e6becf3ab1b275bfb,will-the-democrats-win-the-ohio-senate-race-in-2026,"This market will resolve according to the winner of the 2026 Ohio U.S. Senate special election currently scheduled for November 3, inclusive of any run-offs.

A candidate shall be considered to represent a party in the event that he or she is the nominee of the party in question. Candidates other than the Democratic or Republican nominee (e.g., Greens, Libertarian, independent) may be added at a later date.

Candidates who run as independents will not be encompassed by the “Democrat” or “Republican” options regardless of any affiliation they may have with the party.

The resolution source for this market is the Associated Press, Fox News, and NBC. This market will resolve once all three sources call the race for the same candidate. If all three sources haven’t called the race in this state for the same candidate, this market will resolve based on the official certification.",,,,True,False,True,"[""Yes"",""No""]","[""83018072688154066292491996133599479395547801317505487833443670253228061205312"",""79825167762459488478206414509755176562349257846652439268369145558426777722770""]",83018072688154066292491996133599479395547801317505487833443670253228061205312,79825167762459488478206414509755176562349257846652439268369145558426777722770,54414.61162699986,22665.0731,https://polymarket.com/event/will-the-democrats-win-the-ohio-senate-race-in-2026
RSO-0042,US,North Carolina Senate Election Winner,North Carolina Senate Election Winner — Roy Cooper (D),Will the Democrats win the North Carolina Senate race in 2026?,630883,57664,0x129dbcb7d39ff8df5f0d7685a2db6400b5db37d3963914486fbb7fd2bc96a923,will-the-democrats-win-the-north-carolina-senate-race-in-2026,"This market will resolve according to the winner of the 2026 midterm North Carolina U.S. Senate election, inclusive of any run-offs.

A candidate shall be considered to represent a party in the event that he or she is the nominee of the party in question. Candidates other than the Democratic or Republican nominee (e.g., Greens, Libertarian, independent) may be added at a later date.

Candidates who run as independents will not be encompassed by the “Democrat” or “Republican” options regardless of any affiliation they may have with the party.

The resolution source for this market is the Associated Press, Fox News, and NBC. This market will resolve once all three sources call the race for the same candidate. If all three sources haven’t called the race in this state for the same candidate, this market will resolve based on the official certification.",,,,True,False,True,"[""Yes"",""No""]","[""107151098936186723859677628536733880558851060002514795735761427447010628440047"",""111394826590193310622075208085123253955586587501538476190057516703346418362600""]",107151098936186723859677628536733880558851060002514795735761427447010628440047,111394826590193310622075208085123253955586587501538476190057516703346418362600,29356.945144999987,14257.6772,https://polymarket.com/event/will-the-democrats-win-the-north-carolina-senate-race-in-2026
RSO-0044,US,Georgia Senate Election Winner,Georgia Senate Election Winner — Democrat,Will the Democrats win the Georgia Senate race in 2026?,630692,57642,0x3c5b93b91196c8db64e63c424979da8cfbf44a4501afd70d2480ee28fbf306a2,will-the-democrats-win-the-georgia-senate-race-in-2026,"This market will resolve according to the winner of the 2026 midterm Georgia U.S. Senate election, inclusive of any run-offs.

A candidate shall be considered to represent a party in the event that he or she is the nominee of the party in question. Candidates other than the Democratic or Republican nominee (e.g., Greens, Libertarian, independent) may be added at a later date.

Candidates who run as independents will not be encompassed by the “Democrat” or “Republican” options regardless of any affiliation they may have with the party.

The resolution source for this market is the Associated Press, Fox News, and NBC. This market will resolve once all three sources call the race for the same candidate. If all three sources haven’t called the race in this state for the same candidate, this market will resolve based on the official certification.",,,,True,False,True,"[""Yes"",""No""]","[""21024219148268989748704207701411444044468128261642675917026452687231462203167"",""35836144845762083734936716777818582913796871841916057482479347577598882811767""]",21024219148268989748704207701411444044468128261642675917026452687231462203167,35836144845762083734936716777818582913796871841916057482479347577598882811767,11653.662024000005,22820.8097,https://polymarket.com/event/will-the-democrats-win-the-georgia-senate-race-in-2026
RSO-0052,US,Michigan Governor Election Winner,Michigan Governor Election Winner — Democrat,Will the Democrats win the Michigan governor race in 2026?,629464,57176,0x76cface9f6df604ff32447bce58656b7a72b6659324d089c73a13a99f06c8aae,will-the-democrats-win-the-michigan-governor-race-in-2026,"This market will resolve according to the winner of the 2026 Michigan gubernatorial election.

A candidate shall be considered to represent a party in the event that he or she is the nominee of the party in question. Candidates other than the Democratic or Republican nominee (e.g., Greens, Libertarian, independent) may be added at a later date.

Candidates who run as independents will not be encompassed by the “Democrat” or “Republican” options regardless of any affiliation they may have with the party.

The resolution source for this market is the Associated Press, Fox News, and NBC. This market will resolve once all three sources call the race for the same candidate. If all three sources haven’t called the race in this state for the same candidate, this market will resolve based on the official certification.",,,,True,False,True,"[""Yes"",""No""]","[""63517706574758177502492185078056756527324898714284142778693046697324148388357"",""24313213949676763118562588141459255175279390673486982872182407528149814471441""]",63517706574758177502492185078056756527324898714284142778693046697324148388357,24313213949676763118562588141459255175279390673486982872182407528149814471441,42172.86009000002,12885.753,https://polymarket.com/event/will-the-democrats-win-the-michigan-governor-race-in-2026
RSO-0061,US,Ohio Governor Election Winner,Ohio Governor Election Winner — Republican,Will the Republicans win the Ohio governor race in 2026?,629558,57185,0x650e3ebc043ddbcfa1d1ffda0c5830f19da7389827889fb5db3474bde5b007fb,will-the-republicans-win-the-ohio-governor-race-in-2026,"This market will resolve according to the winner of the 2026 Ohio gubernatorial election.

A candidate shall be considered to represent a party in the event that he or she is the nominee of the party in question. Candidates other than the Democratic or Republican nominee (e.g., Greens, Libertarian, independent) may be added at a later date.

Candidates who run as independents will not be encompassed by the “Democrat” or “Republican” options regardless of any affiliation they may have with the party.

The resolution source for this market is the Associated Press, Fox News, and NBC. This market will resolve once all three sources call the race for the same candidate. If all three sources haven’t called the race in this state for the same candidate, this market will resolve based on the official certification.",,,,True,False,True,"[""Yes"",""No""]","[""3104629708171062356498135654472461762731791851667035051301931240755518332250"",""104526794566859391085042814952967251260974275524059793655101271789052995794634""]",3104629708171062356498135654472461762731791851667035051301931240755518332250,104526794566859391085042814952967251260974275524059793655101271789052995794634,52562.41945899999,23674.099,https://polymarket.com/event/will-the-republicans-win-the-ohio-governor-race-in-2026
